"","date","name","price.mean"
"179",2011-01-25,"대전",1860
"180",2011-01-25,"부산",2205
"181",2011-01-25,"서울 ",1722
"182",2011-01-25,"수원",2240
"183",2011-01-25,"울산",2680
"184",2011-01-25,"인천",1380
"185",2011-01-25,"전주",1680
"186",2011-01-25,"제주",2650
"187",2011-01-25,"청주",2490
"188",2011-01-26,"광주",2210
"189",2011-01-26,"대구",2185
"190",2011-01-26,"대전",1610
"191",2011-01-26,"부산",2255
"192",2011-01-26,"서울 ",1722
"193",2011-01-26,"수원",2240
"194",2011-01-26,"울산",2680
"195",2011-01-26,"인천",1380
"196",2011-01-26,"전주",1680
"197",2011-01-26,"제주",2650
"198",2011-01-26,"청주",2490
"199",2011-01-27,"광주",2260
"200",2011-01-27,"대구",2185
"201",2011-01-27,"대전",1680
"202",2011-01-27,"부산",2355
"203",2011-01-27,"서울 ",1665
"204",2011-01-27,"수원",2440
"205",2011-01-27,"울산",2680
"206",2011-01-27,"인천",1380
"207",2011-01-27,"전주",1980
"208",2011-01-27,"제주",2700
"209",2011-01-27,"청주",2490
"210",2011-01-28,"광주",2260
"211",2011-01-28,"대구",2185
"212",2011-01-28,"대전",1680
"213",2011-01-28,"부산",2355
"214",2011-01-28,"서울 ",1665
"215",2011-01-28,"수원",2440
"216",2011-01-28,"울산",2680
"217",2011-01-28,"인천",1380
"218",2011-01-28,"전주",1980
"219",2011-01-28,"제주",2580
"220",2011-01-28,"청주",2490
"221",2011-01-31,"광주",2260
"222",2011-01-31,"대구",2210
"223",2011-01-31,"대전",2160
"224",2011-01-31,"부산",2535
"225",2011-01-31,"서울 ",1942
"226",2011-01-31,"수원",2280
"227",2011-01-31,"울산",2680
"228",2011-01-31,"인천",2580
"229",2011-01-31,"전주",1980
"230",2011-01-31,"제주",2580
"231",2011-01-31,"청주",2580
"232",2011-02-01,"광주",2260
"233",2011-02-01,"대구",2210
"234",2011-02-01,"대전",2160
"235",2011-02-01,"부산",2535
"236",2011-02-01,"서울 ",1911.66666666667
"237",2011-02-01,"수원",2280
