"","date_month","name","price.mean"
"1","10월","광주",1572.76699029126
"2","10월","대구",1582.57281553398
"3","10월","대전",1598.45
"4","10월","부산",1551.79611650485
"5","10월","서울 ",1509.8309178744
"6","10월","수원",1745
"7","10월","울산",1592.53012048193
"8","10월","인천",1597.98076923077
"9","10월","전주",1564.13461538462
"10","10월","제주",2079.87951807229
"11","10월","청주",1648.36538461538
"12","11월","광주",1548.39622641509
"13","11월","대구",1568.11059907834
"14","11월","대전",1580.41474654378
"15","11월","부산",1557.97235023041
"16","11월","서울 ",1500.09237875289
"17","11월","수원",1694.35185185185
"18","11월","울산",1664.41860465116
"19","11월","인천",1544.62962962963
"20","11월","전주",1539.44444444444
"21","11월","제주",1927.09302325581
"22","11월","청주",1598.14814814815
"23","12월","광주",1762.5
"24","12월","대구",1763.04901960784
"25","12월","대전",1763.13725490196
"26","12월","부산",1675.58823529412
"27","12월","서울 ",1682.51231527094
"28","12월","수원",1781.68316831683
"29","12월","울산",1764.0243902439
"30","12월","인천",1793.36633663366
"31","12월","전주",1678.21782178218
"32","12월","제주",2033.78048780488
"33","12월","청주",1760.19801980198
"34","1월","광주",1680.17391304348
"35","1월","대구",1726.82608695652
"36","1월","대전",1648.08695652174
"37","1월","부산",1797.39130434783
"38","1월","서울 ",1613.17380352645
"39","1월","수원",1717.41176470588
"40","1월","울산",1649.68253968254
"41","1월","인천",1590.23529411765
"42","1월","전주",1534.47058823529
"43","1월","제주",1985.71428571429
"44","1월","청주",1827.76470588235
"45","2월","광주",1771.32978723404
"46","2월","대구",1792.39361702128
"47","2월","대전",1774.09574468085
"48","2월","부산",1947.71276595745
"49","2월","서울 ",1578.66492146597
"50","2월","수원",1785.56701030928
"51","2월","울산",1901.75438596491
"52","2월","인천",1582.98969072165
"53","2월","전주",1524.43298969072
"54","2월","제주",1828.59649122807
"55","2월","청주",1648.24742268041
"56","3월","광주",1600.75829383886
"57","3월","대구",1648.62559241706
"58","3월","대전",1663.88625592417
"59","3월","부산",1839.38388625592
"60","3월","서울 ",1517.87589498807
"61","3월","수원",1671.92307692308
"62","3월","울산",1642.06349206349
"63","3월","인천",1509.32038834951
"64","3월","전주",1485.86538461538
"65","3월","제주",1854.28571428571
"66","3월","청주",1566.92307692308
"67","4월","광주",1615.85714285714
"68","4월","대구",1659.90476190476
"69","4월","대전",1673.7619047619
"70","4월","부산",1841.80952380952
"71","4월","서울 ",1581.88095238095
"72","4월","수원",1740
"73","4월","울산",1756.35294117647
"74","4월","인천",1543.14285714286
"75","4월","전주",1523.71428571429
"76","4월","제주",1805.29411764706
"77","4월","청주",1618
"78","5월","광주",1752.81553398058
"79","5월","대구",1792.33009708738
"80","5월","대전",1773.49514563107
"81","5월","부산",1878.59223300971
"82","5월","서울 ",1704.66183574879
"83","5월","수원",1766.92307692308
"84","5월","울산",1976.74698795181
"85","5월","인천",1679.03846153846
"86","5월","전주",1609.42307692308
"87","5월","제주",2014.81927710843
"88","5월","청주",1820.86538461538
"89","6월","광주",1987.66169154229
"90","6월","대구",2055.67164179104
"91","6월","대전",1943.63184079602
"92","6월","부산",2097.3631840796
"93","6월","서울 ",1974.98746867168
"94","6월","수원",2014.84848484848
"95","6월","울산",2147.84810126582
"96","6월","인천",1970.80808080808
"97","6월","전주",1912.42424242424
"98","6월","제주",2394.55696202532
"99","6월","청주",2162.92929292929
"100","7월","광주",2098.03652968037
"101","7월","대구",2106.34703196347
"102","7월","대전",1948.9497716895
"103","7월","부산",2057.899543379
"104","7월","서울 ",1957.68707482993
"105","7월","수원",1948.01801801802
"106","7월","울산",2061.91011235955
"107","7월","인천",1988.82882882883
"108","7월","전주",1981.62162162162
"109","7월","제주",2380.11235955056
"110","7월","청주",1997.92792792793
"111","8월","광주",1957.63888888889
"112","8월","대구",1921.38248847926
"113","8월","대전",1878.11059907834
"114","8월","부산",1894.70046082949
"115","8월","서울 ",1838.91454965358
"116","8월","수원",1909.81481481481
"117","8월","울산",1889.76744186047
"118","8월","인천",1873.05555555556
"119","8월","전주",1875.46296296296
"120","8월","제주",2274.3023255814
"121","8월","청주",1972.31481481481
"122","9월","광주",1852.98969072165
"123","9월","대구",1840.92783505155
"124","9월","대전",1819.89690721649
"125","9월","부산",1828.86597938144
"126","9월","서울 ",1776.24352331606
"127","9월","수원",1891.77083333333
"128","9월","울산",1898.55263157895
"129","9월","인천",1794.58333333333
"130","9월","전주",1779.375
"131","9월","제주",2174.07894736842
"132","9월","청주",1919.375
