"","서울","부산","대구","인천","광주","대전","울산","수원","청주","전주","제주"
"74",2026.66666666667,2335,1877.5,1980,1885,1935,2180,2310,1790,1680,2570
"75",1743.33333333333,2335,1877.5,1580,1735,2035,2180,2310,1790,1680,2570
"76",1743.33333333333,2335,1877.5,1580,1735,2035,2180,2310,1790,1680,2570
"77",1743.33333333333,2335,1877.5,1580,1735,2035,2180,2310,2280,1680,1550
"78",1716.66666666667,2335,1877.5,1580,1735,2020,2680,2310,2280,1680,1550
"79",1716.66666666667,2335,1877.5,1580,1735,2020,2680,2310,2280,1680,1550
"80",1800,2260,1877.5,1580,1835,2095,2880,1480,2280,1680,1980
"81",1866.66666666667,2260,1877.5,1680,1835,2095,2880,1480,1480,1680,1980
"82",1818.33333333333,2260,1927.5,1780,1835,2095,2880,1400,1480,1680,2570
"83",1816.66666666667,2260,1927.5,1650,1835,2082.5,2880,1400,1480,1680,2570
"84",1816.66666666667,2260,1927.5,1650,1835,2082.5,2880,1400,1480,1680,2570
"85",1753.33333333333,2335,1927.5,1780,1835,1775,2880,1400,1480,1680,2820
"86",1985,2335,1927.5,1680,1835,2075,2680,2580,2280,1680,2450
"87",1985,2335,1927.5,1980,1835,2075,2680,2580,2580,1680,2450
"88",2085,2335,1977.5,1980,1885,2207.5,2680,2580,2580,1880,2450
"89",2085,2335,2027.5,2500,1935,2207.5,2680,2580,2580,1880,2450
"90",2125,2385,2160,2100,1990,2207.5,2680,2640,2580,1880,2450
"91",2125,2385,2160,2100,1990,2207.5,2680,2640,2580,1880,2450
"92",2188.33333333333,2385,2160,2100,1990,2207.5,2680,2640,2780,1880,2450
"93",2105,2435,2160,1900,1915,2187.5,2680,2640,2780,1880,2180
"94",2055,2435,2160,1900,1915,2165,2680,2640,2780,1880,2180
"95",2075,2435,2160,1900,2065,2165,2680,2380,2780,1880,2180
"96",1925,2460,2160,1900,2065,2165,2680,2380,2780,1880,2180
"97",1925,2460,2160,1900,2065,2165,2680,2380,2780,1880,2180
"98",2075,2460,2260,2400,2065,2115,2680,2630,2780,1880,2180
"99",2141.66666666667,2460,2260,2400,2065,2115,2680,2630,2780,1880,2780
"100",2286.66666666667,2435,2217.5,2400,2090,2165,2680,2700,2780,1880,2780
"101",2275,2435,2217.5,2400,2090,2165,2680,2700,2780,1880,2780
"102",2241.66666666667,2435,2217.5,2400,1940,2165,2680,2700,2780,1880,2780
"103",2308.33333333333,2435,2317.5,2400,2090,2265,2680,2700,2780,2280,2780
"104",2375,2435,2417.5,2400,2115,2290,2680,2700,2780,2280,2780
"105",2316.66666666667,2535,2417.5,2280,2315,2410,2980,2780,2980,2280,2780
"106",2316.66666666667,2535,2417.5,2280,2315,2410,2980,2780,2980,2280,2780
"107",2316.66666666667,2535,2417.5,2280,2315,2410,2980,2780,2980,2280,2780
"108",2333.33333333333,2535,2417.5,2280,2315,2425,2980,2780,2980,2280,2980
"109",2338.33333333333,2585,2417.5,2280,2315,2425,2980,2780,2980,2280,2990
"110",2333.33333333333,2585,2417.5,2280,2340,2425,2980,2780,2980,2280,2990
"111",2408.33333333333,2585,2417.5,2280,2340,2425,2980,2780,2980,2280,2990
"112",2333.33333333333,2585,2417.5,2280,2340,2425,3380,2780,2980,2280,2990
"113",2338.33333333333,2585,2520,2280,2415,2425,3380,2780,2980,2280,2990
"114",2355,2585,2445,2280,2465,2425,3380,2780,2980,2280,2990
"115",2355,2585,2445,2280,2390,2250,3380,2750,2980,2280,2990
"116",2350,2585,2445,2280,2390,2250,3380,2750,2980,2280,2990
"117",2355,2585,2445,2280,2390,2250,2980,2750,2980,2280,2990
"118",2355,2585,2620,2280,2565,2250,2980,2750,2980,2280,2990
"119",2388.33333333333,2710,2520,2500,2565,2250,2980,2740,2980,2280,2990
"120",2388.33333333333,2710,2520,2500,2565,2250,2980,2740,2980,2280,2990
"121",2388.33333333333,2710,2462.5,2500,2465,2250,2280,2740,2980,2280,2990
"122",2235,2685,2562.5,2500,2565,2250,2280,2740,2980,2280,2990
"123",2166.66666666667,2685,2562.5,2500,2565,2250,2280,2740,2500,2280,2990
"124",2166.66666666667,2585,2562.5,2500,2565,2250,2280,2740,2250,2280,2990
"125",2166.66666666667,2585,2562.5,2500,2565,2250,2280,2740,2250,2280,2990
"126",2166.66666666667,2585,2562.5,2500,2565,2250,2280,2740,2250,2280,2990
