"","서울","부산","대구","인천","광주","대전","울산","수원","청주","전주","제주"
"..165",1916.66666666667,2335,1877.5,1680,1760,1935,2180,2450,2280,1680,2580
"..166",1868.33333333333,2335,1877.5,1680,1760,1935,2180,2450,2280,1680,1980
"..167",1866.66666666667,2335,1877.5,1980,1760,1935,2180,2390,2280,1680,2580
"..168",1866.66666666667,2335,1877.5,1980,1760,1935,2180,2390,2280,1680,2580
"..169",1866.66666666667,2335,1877.5,1980,1885,1935,2180,2390,2280,1680,2580
"..170",1916.66666666667,2335,1877.5,1980,1760,1935,2180,2390,1790,1680,2580
"..171",1916.66666666667,2335,1877.5,1980,1760,1935,2180,2390,1790,1680,2580
"..172",2026.66666666667,2335,1877.5,1680,1885,1935,2180,2310,1790,1680,2570
"..173",2026.66666666667,2335,1877.5,1980,1885,1935,2180,2310,1790,1680,2570
"..174",2026.66666666667,2335,1877.5,1980,1885,1935,2180,2310,1790,1680,2570
"..175",1743.33333333333,2335,1877.5,1580,1735,2035,2180,2310,1790,1680,2570
"..176",1743.33333333333,2335,1877.5,1580,1735,2035,2180,2310,1790,1680,2570
"..177",1743.33333333333,2335,1877.5,1580,1735,2035,2180,2310,2280,1680,1550
"..178",1716.66666666667,2335,1877.5,1580,1735,2020,2680,2310,2280,1680,1550
"..179",1716.66666666667,2335,1877.5,1580,1735,2020,2680,2310,2280,1680,1550
"..180",1800,2260,1877.5,1580,1835,2095,2880,1480,2280,1680,1980
"..181",1866.66666666667,2260,1877.5,1680,1835,2095,2880,1480,1480,1680,1980
"..182",1818.33333333333,2260,1927.5,1780,1835,2095,2880,1400,1480,1680,2570
"..183",1816.66666666667,2260,1927.5,1650,1835,2082.5,2880,1400,1480,1680,2570
"..184",1816.66666666667,2260,1927.5,1650,1835,2082.5,2880,1400,1480,1680,2570
"..185",1753.33333333333,2335,1927.5,1780,1835,1775,2880,1400,1480,1680,2820
"..186",1985,2335,1927.5,1680,1835,2075,2680,2580,2280,1680,2450
"..187",1985,2335,1927.5,1980,1835,2075,2680,2580,2580,1680,2450
"..188",2085,2335,1977.5,1980,1885,2207.5,2680,2580,2580,1880,2450
"..189",2085,2335,2027.5,2500,1935,2207.5,2680,2580,2580,1880,2450
"..190",2125,2385,2160,2100,1990,2207.5,2680,2640,2580,1880,2450
"..191",2125,2385,2160,2100,1990,2207.5,2680,2640,2580,1880,2450
"..192",2188.33333333333,2385,2160,2100,1990,2207.5,2680,2640,2780,1880,2450
"..193",2105,2435,2160,1900,1915,2187.5,2680,2640,2780,1880,2180
"..194",2055,2435,2160,1900,1915,2165,2680,2640,2780,1880,2180
"..195",2075,2435,2160,1900,2065,2165,2680,2380,2780,1880,2180
"..196",1925,2460,2160,1900,2065,2165,2680,2380,2780,1880,2180
"..197",1925,2460,2160,1900,2065,2165,2680,2380,2780,1880,2180
"..198",2075,2460,2260,2400,2065,2115,2680,2630,2780,1880,2180
"..199",2141.66666666667,2460,2260,2400,2065,2115,2680,2630,2780,1880,2780
"..1100",2286.66666666667,2435,2217.5,2400,2090,2165,2680,2700,2780,1880,2780
"..1101",2275,2435,2217.5,2400,2090,2165,2680,2700,2780,1880,2780
"..1102",2241.66666666667,2435,2217.5,2400,1940,2165,2680,2700,2780,1880,2780
"..1103",2308.33333333333,2435,2317.5,2400,2090,2265,2680,2700,2780,2280,2780
"..1104",2375,2435,2417.5,2400,2115,2290,2680,2700,2780,2280,2780
"..1105",2316.66666666667,2535,2417.5,2280,2315,2410,2980,2780,2980,2280,2780
"..1106",2316.66666666667,2535,2417.5,2280,2315,2410,2980,2780,2980,2280,2780
"..1107",2316.66666666667,2535,2417.5,2280,2315,2410,2980,2780,2980,2280,2780
"..1108",2333.33333333333,2535,2417.5,2280,2315,2425,2980,2780,2980,2280,2980
"..1109",2338.33333333333,2585,2417.5,2280,2315,2425,2980,2780,2980,2280,2990
"..1110",2333.33333333333,2585,2417.5,2280,2340,2425,2980,2780,2980,2280,2990
"..1111",2408.33333333333,2585,2417.5,2280,2340,2425,2980,2780,2980,2280,2990
"..1112",2333.33333333333,2585,2417.5,2280,2340,2425,3380,2780,2980,2280,2990
"..1113",2338.33333333333,2585,2520,2280,2415,2425,3380,2780,2980,2280,2990
"..1114",2355,2585,2445,2280,2465,2425,3380,2780,2980,2280,2990
"..1115",2355,2585,2445,2280,2390,2250,3380,2750,2980,2280,2990
"..1116",2350,2585,2445,2280,2390,2250,3380,2750,2980,2280,2990
"..1117",2355,2585,2445,2280,2390,2250,2980,2750,2980,2280,2990
"..1118",2355,2585,2620,2280,2565,2250,2980,2750,2980,2280,2990
"..1119",2388.33333333333,2710,2520,2500,2565,2250,2980,2740,2980,2280,2990
"..1120",2388.33333333333,2710,2520,2500,2565,2250,2980,2740,2980,2280,2990
"..1121",2388.33333333333,2710,2462.5,2500,2465,2250,2280,2740,2980,2280,2990
"..1122",2235,2685,2562.5,2500,2565,2250,2280,2740,2980,2280,2990
"..1123",2166.66666666667,2685,2562.5,2500,2565,2250,2280,2740,2500,2280,2990
"..1124",2166.66666666667,2585,2562.5,2500,2565,2250,2280,2740,2250,2280,2990
"..1125",2166.66666666667,2585,2562.5,2500,2565,2250,2280,2740,2250,2280,2990
"..1126",2166.66666666667,2585,2562.5,2500,2565,2250,2280,2740,2250,2280,2990
"..1127",2216.66666666667,2585,2562.5,2180,2565,2250,2280,2740,2250,2280,2990
"..1128",2216.66666666667,2585,2562.5,2500,2440,2250,2280,2650,2250,2280,2990
"..1129",2216.66666666667,2560,2367.5,2280,2440,2250,2280,2650,2250,2280,2990
"..1130",2216.66666666667,2560,2367.5,2280,2440,2250,2280,2650,2250,2280,2990
"..1131",2320,2410,2367.5,2500,2390,2250,2280,2650,2250,2280,2990
"..1132",2320,2410,2367.5,2500,2540,2250,2280,2650,2250,2280,2990
"..1133",2233.33333333333,2410,2537.5,2500,2440,2250,2280,2650,2250,2280,2180
"..1134",2320,2410,2537.5,2500,2440,2250,2280,2650,2250,2280,2180
"..1135",2320,2410,2537.5,2500,2440,2250,2280,2650,2250,2280,2180
"..1136",2320,2427.5,2537.5,2500,2532.5,2250,2280,2630,2250,2280,2180
"..1137",2320,2252.5,2385,2500,2457.5,2250,2280,2630,2250,2280,2180
"..1138",2285,2252.5,2385,2500,2457.5,2250,2280,2630,1980,2280,2180
"..1139",2285,2352.5,2385,2500,2457.5,2305,2280,2600,1980,2280,2180
"..1140",2251.66666666667,2352.5,2385,2500,2457.5,2305,2280,2250,1980,2280,2280
"..1141",2251.66666666667,2352.5,2385,2500,2457.5,2305,2280,2250,1980,2280,2280
"..1142",2046.66666666667,2352.5,2302.5,1980,2270,2102.5,2280,2250,1980,1950,2080
"..1143",2046.66666666667,2352.5,2060,1980,2027.5,2102.5,2280,2250,1980,1950,1950
"..1144",2115,2315,2330,1980,2357.5,2177.5,2980,2250,1900,1950,1950
"..1145",2095,2265,2330,1980,2357.5,2177.5,2980,2250,1900,1950,1950
"..1146",2095,2265,2330,2200,2357.5,2177.5,2280,2250,1900,1950,1950
"..1147",2095,2190,2112.5,2200,2282.5,2177.5,2280,2250,1890,1950,1950
"..1148",2095,2265,2112.5,2200,2282.5,2177.5,2280,2250,1890,1950,1950
"..1149",2118.33333333333,2365,2117.5,2200,2315,2102.5,2280,2250,1890,2080,1950
"..1150",2118.33333333333,2365,2117.5,2200,2315,2102.5,2280,2250,1890,2080,1950
"..1151",2118.33333333333,2365,2117.5,2200,2315,2177.5,2280,2250,1890,2080,1950
"..1152",2068.33333333333,2065,2042.5,2200,2240,2027.5,1980,2250,1890,2080,2080
"..1153",2068.33333333333,2065,2042.5,2200,2240,2027.5,1980,2250,2100,1950,1950
"..1154",2056.66666666667,2040,2010,1980,2240,2027.5,1980,2250,2100,1950,1950
"..1155",2056.66666666667,2040,2010,1980,2240,2027.5,1980,2250,2200,1950,1950
"..1156",2156.66666666667,2190,2192.5,1950,2210,2210,2580,2250,2200,2080,1950
"..1157",2111.66666666667,2190,2192.5,1950,2210,2210,2580,2250,1980,2080,1950
"..1158",2106.66666666667,2190,2192.5,1950,2085,2210,2080,2250,1980,2080,2080
"..1159",2023.33333333333,2190,2067.5,1950,2085,2085,2080,2250,2380,2080,2080
"..1160",2045,2390,2337.5,1950,2285,2110,2880,2250,2480,2080,2080
"..1161",2166.66666666667,2165,2287.5,1950,2302.5,2235,2580,2250,2480,2180,2180
"..1162",2166.66666666667,2040,2162.5,2080,2302.5,2110,2080,2250,2480,2180,2180
"..1163",2076.66666666667,2335,2287.5,1980,2235,2085,1950,2250,2480,2180,2180
"..1164",2093.33333333333,2335,2287.5,1980,2235,2085,1950,2250,2180,2180,2180
"..1165",1970,2155,2287.5,1750,2077.5,2002.5,1950,2250,2180,2180,2180
"..1166",1986.66666666667,2055,2187.5,1750,2077.5,2077.5,2180,2160,2180,2180,2180
"..1167",1910,1955,2045,1750,2052.5,2077.5,2080,1700,1700,2180,2280
"..1168",1860,2040,2045,1750,2052.5,2002.5,2080,1700,1700,1980,1980
"..1169",1860,2040,2045,1750,2052.5,2002.5,2080,1700,1700,1980,1980
"..1170",1915,1915,2045,1750,2052.5,2002.5,2080,1700,1700,1980,1980
"..1171",1915,1915,1970,1950,2185,2060,2080,1700,1700,1880,1980
"..1172",1936.66666666667,1915,1970,2080,2060,2060,2080,1700,1700,1880,1980
"..1173",1953.33333333333,2105,2007.5,2080,2060,2060,2080,2570,2180,1880,1980
"..1174",1915,1897.5,1950,2500,2002.5,2002.5,1850,2180,2180,1880,2810
"..1175",1915,1897.5,1950,2080,2002.5,1952.5,1850,2180,2180,1880,2180
"..1176",1915,1897.5,1950,1950,2002.5,1952.5,1850,2180,2180,1880,2180
"..1177",1930,1897.5,1950,1950,2002.5,1952.5,1850,2180,2180,1880,2180
"..1178",1930,1897.5,1950,1950,2002.5,1952.5,1850,2180,2180,1880,2180
"..1179",1830,1947.5,1950,1780,2002.5,1877.5,1850,2180,2080,1770,2180
"..1180",1830,1947.5,1950,1780,1927.5,1877.5,1780,2180,2080,1770,2180
"..1181",1813.33333333333,2030,1962.5,1780,1927.5,1877.5,1780,2180,2080,1770,2180
"..1182",1808.33333333333,2030,1962.5,1780,1927.5,1877.5,1780,2180,1980,1770,2180
"..1183",1808.33333333333,2030,1915,1780,1927.5,1827.5,1780,2180,1980,1770,2180
"..1184",1816.66666666667,1885,1867.5,1780,1960,1990,2280,2180,1980,1580,2180
"..1185",1740,1702.5,1685,1550,1670,1620,1550,2180,1580,1580,1980
"..1186",1601.66666666667,1652.5,1685,1550,1670,1752.5,1550,2180,1580,1580,2180
"..1187",1601.66666666667,1652.5,1685,1550,1670,1752.5,1550,2180,1580,1580,2180
"..1188",1761.66666666667,1910,1792.5,1750,1835,1752.5,1550,2180,1580,1680,2180
"..1189",1783.33333333333,1910,1792.5,1750,1835,1785,1680,2180,1580,1680,2180
"..1190",1683.33333333333,1760,1792.5,1750,1860,1810,1680,2090,1980,1680,2180
"..1191",1683.33333333333,1760,1817.5,1750,1860,1810,1680,2090,1580,1680,2180
"..1192",1683.33333333333,1802.5,1817.5,1750,1860,1810,1680,2090,1580,1680,2180
"..1193",1795,1802.5,1817.5,1600,1790,1785,1680,2090,1580,1680,2250
"..1194",1770,1802.5,1817.5,1600,1790,1785,1680,2090,1580,1680,1680
"..1195",1770,1802.5,1817.5,1600,1790,1690,1680,2090,1580,1680,2250
"..1196",1770,1802.5,1817.5,1600,1765,1690,1680,2090,1580,1680,2250
"..1197",1770,1802.5,1817.5,1600,1765,1690,1680,2090,1580,1680,2250
"..1198",1800,1720,1735,1680,1702.5,1702.5,1650,2090,1580,1650,2360
"..1199",1695,1720,1735,1680,1702.5,1702.5,1650,2090,1580,1650,2360
"..1200",1763.33333333333,1720,1735,1680,1727.5,1702.5,1650,2090,1580,1650,1580
"..1201",1763.33333333333,1720,1707.5,1680,1727.5,1702.5,1650,2180,1580,1650,1580
"..1202",1763.33333333333,1720,1707.5,1680,1727.5,1702.5,1650,2180,1580,1650,1580
"..1203",1491.66666666667,1710,1592.5,1350,1577.5,1527.5,1680,2180,1280,1280,2360
"..1204",1435,1710,1535,1180,1520,1485,1680,2180,1280,1280,2360
"..1205",1416.66666666667,1710,1517.5,1180,1452.5,1485,1680,2180,1280,1280,2360
"..1206",1416.66666666667,1710,1517.5,1180,1410,1485,1680,2180,1280,1280,1280
"..1207",1416.66666666667,1710,1517.5,1180,1410,1485,1680,2180,1280,1280,1280
"..1208",1598.33333333333,1610,1592.5,1250,1402.5,1552.5,1480,2180,1280,1650,1680
"..1209",1461.66666666667,1485,1642.5,1250,1452.5,1602.5,1480,2180,1280,1650,1680
"..1210",1680,1785,1702.5,1250,1660,1602.5,1480,2180,1680,1650,1980
"..1211",1571.66666666667,1785,1702.5,1250,1653.33333333333,1602.5,1480,2180,1680,1650,1980
"..1212",1610,1785,1690,1250,1653.33333333333,1602.5,1680,2180,1680,1650,1980
"..1213",1681.66666666667,1635,1590,1250,1653.33333333333,1710,1680,2150,1680,1650,1830
"..1214",1610,1635,1690,1250,1510,1710,1680,2150,1680,1650,1650
"..1215",1666.66666666667,1735,1690,1680,1660,1710,1680,2150,1680,1650,1650
"..1216",1690,1735,1690,1680,1660,1710,1680,2150,1680,1650,1650
"..1217",1706.66666666667,1735,1690,1680,1660,1710,1680,2150,1580,1650,1650
"..1218",1563.33333333333,1627.5,1762.5,1350,1645,1695,1950,2150,1580,1650,1650
"..1219",1608.33333333333,1627.5,1762.5,1350,1645,1695,1950,2150,1280,1650,1650
"..1220",1648.33333333333,1627.5,1827.5,1350,1645,1695,1950,2290,1880,1650,1650
"..1221",1698.33333333333,1627.5,1855,1350,1695,1695,1950,2290,1980,1650,1650
"..1222",1698.33333333333,1677.5,1855,1350,1695,1695,1950,2290,1980,1650,1650
"..1223",2003.33333333333,1910,1942.5,1850,2002.5,2002.5,2380,2290,1980,1980,2750
"..1224",2046.66666666667,1760,1955,1850,2002.5,1902.5,2380,2290,2280,1980,2750
"..1225",2046.66666666667,1760,1822.5,2050,1920,1895,1980,2290,2280,1980,2790
"..1226",2046.66666666667,1760,1867.5,2050,1920,1895,1980,2500,2380,1980,2790
"..1227",1931.66666666667,1760,1867.5,2050,1920,1895,1980,2500,2380,1980,2350
"..1228",1926.66666666667,1860,1867.5,2080,1977.5,1895,1850,2500,1880,1850,2380
"..1229",1938.33333333333,1960,2025,2080,1970,1895,1850,2450,2380,1850,2380
"..1230",1871.66666666667,1927.5,2025,2080,1945,1895,1850,2450,2380,1850,2380
"..1231",1871.66666666667,1910,2057.5,2080,1977.5,1895,1850,2450,2380,1850,2380
"..1232",1976.66666666667,1852.5,2232.5,2080,2152.5,1895,1850,2450,1880,1850,2380
"..1233",1976.66666666667,1852.5,2122.5,2080,2152.5,1895,1850,1800,1880,1850,2080
"..1234",2098.33333333333,1902.5,2037.5,2080,1945,1895,2580,1800,1880,1850,2080
"..1235",1976.66666666667,1902.5,1962.5,2080,1945,1895,1850,1800,1880,1850,2080
"..1236",1976.66666666667,1952.5,1962.5,2080,2020,1895,1850,1800,2450,1850,2080
"..1237",2181.66666666667,2210,2195,2080,2252.5,2182.5,2580,1800,2450,2050,2080
"..1238",2093.33333333333,2027.5,1965,2480,2070,2000,1850,1800,2000,2050,2080
"..1239",2126.66666666667,1982.5,2125,2380,2070,2120,2050,1800,2100,2050,2380
"..1240",2126.66666666667,1982.5,2125,2380,2070,2120,2050,1800,2100,2050,2380
"..1241",2126.66666666667,1982.5,2125,2380,2070,2120,2050,1800,2100,2050,2380
"..1242",1943.33333333333,1882.5,2132.5,1880,1995,1995,2050,1800,2380,2050,2530
"..1243",1943.33333333333,1882.5,2022.5,1880,1995,1995,2050,1800,1980,2050,2080
"..1244",1943.33333333333,2165,2177.5,1880,2177.5,1995,2050,1800,1980,2050,2080
"..1245",1943.33333333333,2165,2177.5,1880,2177.5,1995,2050,1800,1980,2050,2080
"..1246",1943.33333333333,2165,2177.5,1880,2177.5,1995,2050,1800,1980,2050,2080
"..1247",2041.66666666667,1907.5,2177.5,2180,2070,2070,2050,1800,1980,2050,1880
"..1248",2041.66666666667,1907.5,2060.5,2180,2070,2070,2050,1800,1980,2050,1880
"..1249",1991.66666666667,1982.5,2102.5,2180,2020,2045,2050,1800,2100,2050,1880
"..1250",2020,1982.5,2102.5,2180,2020,2037.5,2050,1800,1980,2050,1880
"..1251",2020,1982.5,2077.5,2180,2020,2037.5,2050,1800,1980,2050,1880
"..1252",1975,1840,2010,2280,1952.5,1902.5,1980,1800,1980,1850,2380
"..1253",1953.33333333333,1807.5,1977.5,2280,1920,1870,1850,1800,1980,1850,2380
"..1254",1913.33333333333,1795,1977.5,2050,1920,1870,1850,1800,1980,1850,2380
"..1255",1913.33333333333,1795,1977.5,2050,1920,1870,1850,1800,1880,1850,2380
"..1256",1835,1795,1977.5,2050,1770,1870,1850,1800,1880,1850,2380
"..1257",1666.66666666667,1802.5,1842.5,1580,1635,1685,1680,1800,1880,1480,1680
"..1258",1616.66666666667,1760,1842.5,1580,1635,1660,1580,1680,1600,1480,1580
"..1259",1616.66666666667,1860,1792.5,1580,1635,1660,1580,1680,1600,1480,2380
"..1260",1616.66666666667,1860,1742.5,1580,1635,1660,1580,1800,1480,1480,2380
"..1261",1616.66666666667,1760,1742.5,1580,1635,1660,1580,1800,1480,1480,2380
"..1262",1890,1810,1860,2050,1785,1870,1880,1800,1480,1650,1880
"..1263",1776.66666666667,1772.5,1822.5,1850,1752.5,1832.5,1880,1800,1480,1650,1570
"..1264",1776.66666666667,1910,1860,2050,1820,1832.5,1880,1800,1980,1780,1880
"..1265",1776.66666666667,1747.5,1807.5,2050,1782.5,1832.5,1730,1800,1980,2180,1880
"..1266",1776.66666666667,1747.5,1807.5,2050,1782.5,1832.5,1730,1800,1980,1750,1770
"..1267",1865,1772.5,1802.5,2150,1782.5,1832.5,1730,1800,1980,1750,1770
"..1268",1865,1735,1802.5,2050,1782.5,1832.5,1730,1800,1980,1750,1770
"..1269",1710,1753.33333333333,1860,1865,1760,1866.66666666667,1730,1730,1770,1625,1770
"..1270",1600,1553.33333333333,1840,1735,1760,1800,1730,1730,1670,1625,1770
"..1271",1600,1603.33333333333,1840,1735,1760,1800,1480,1650,1670,1625,1770
"..1272",1578.57142857143,1803.33333333333,1753.33333333333,1735,1710,1800,1580,1650,1620,1625,1640
"..1273",1604.28571428571,1803.33333333333,1803.33333333333,1735,1760,1800,1580,1650,1590,1625,1640
"..1274",1625.71428571429,1770,1803.33333333333,1735,1760,1800,1580,1650,1590,1625,1640
"..1275",1530,1686.66666666667,1596.66666666667,1745,1553.33333333333,1710,1480,1650,1640,1440,1900
"..1276",1515.71428571429,1686.66666666667,1580,1695,1553.33333333333,1710,1480,1665,1640,1440,1380
"..1277",1515.71428571429,1720,1580,1695,1553.33333333333,1710,1480,1665,1640,1440,1380
"..1278",1515.71428571429,1686.66666666667,1580,1695,1553.33333333333,1710,1480,1665,1685,1440,1380
"..1279",1515.71428571429,1686.66666666667,1580,1695,1553.33333333333,1710,1480,1665,1685,1440,1380
"..1280",1522.85714285714,1506.66666666667,1786.66666666667,1460,1770,1553.33333333333,1730,1665,1685,1625,2040
"..1281",1522.85714285714,1570,1786.66666666667,1460,1770,1676.66666666667,1730,1665,1685,1625,2040
"..1282",1537.14285714286,1636.66666666667,1786.66666666667,1460,1770,1676.66666666667,1730,1665,1685,1625,2040
"..1283",1537.14285714286,1636.66666666667,1786.66666666667,1460,1770,1676.66666666667,1730,1665,1685,1625,2040
"..1284",1551.42857142857,1636.66666666667,1786.66666666667,1460,1770,1676.66666666667,1730,1665,1685,1625,2040
"..1285",1608.57142857143,1770,1786.66666666667,1660,1793.33333333333,1816.66666666667,1730,1665,1685,1625,2040
"..1286",1608.57142857143,1736.66666666667,1786.66666666667,1660,1793.33333333333,1750,1730,1665,1685,1625,2040
"..1287",1611.42857142857,1570,1786.66666666667,1660,1760,1750,1730,1665,1685,1625,2040
"..1288",1611.42857142857,1770,1786.66666666667,1660,1760,1750,1730,1665,1685,1625,2040
"..1289",1540,1770,1786.66666666667,1420,1760,1393.33333333333,1730,1665,1685,1340,2040
"..1290",1394.28571428571,1553.33333333333,1546.66666666667,1420,1520,1393.33333333333,1580,1665,1535,1340,1180
"..1291",1394.28571428571,1820,1646.66666666667,1375,1620,1393.33333333333,1880,1665,1485,1340,1180
"..1292",1394.28571428571,1820,1646.66666666667,1375,1620,1393.33333333333,1880,1665,1485,1340,1180
"..1293",1394.28571428571,1820,1646.66666666667,1375,1620,1393.33333333333,1880,1680,1485,1340,1180
"..1294",1587.14285714286,1686.66666666667,1846.66666666667,1615,1810,1743.33333333333,1880,1650,1440,1625,2070
"..1295",1587.14285714286,1686.66666666667,1846.66666666667,1615,1776.66666666667,1743.33333333333,1880,1650,1440,1625,2070
"..1296",1630,1770,1786.66666666667,1615,1726.66666666667,1676.66666666667,1750,1650,1740,1625,2070
"..1297",1630,1770,1786.66666666667,1615,1726.66666666667,1676.66666666667,1750,1650,1740,1625,2070
"..1298",1630,1770,1786.66666666667,1615,1726.66666666667,1676.66666666667,1750,1650,1690,1625,2070
"..1299",1485.71428571429,1383.33333333333,1600,1465,1540,1643.33333333333,1170,1650,1690,1625,2070
"..1300",1485.71428571429,1383.33333333333,1600,1465,1540,1643.33333333333,1170,1650,1650,1625,2070
"..1301",1587.14285714286,1703.33333333333,1786.66666666667,1465,1776.66666666667,1643.33333333333,1730,1650,1650,1625,1880
"..1302",1565.71428571429,1753.33333333333,1786.66666666667,1465,1776.66666666667,1643.33333333333,1730,1650,1650,1625,1880
"..1303",1637.14285714286,1820,1786.66666666667,1465,1776.66666666667,1643.33333333333,1730,1650,1650,1625,1880
"..1304",1701.42857142857,1820,1836.66666666667,1615,1776.66666666667,1743.33333333333,1880,1650,1650,1625,2250
"..1305",1611.42857142857,1553.33333333333,1836.66666666667,1615,1776.66666666667,1743.33333333333,1880,1650,1650,1625,2250
"..1306",1592.85714285714,1776.66666666667,1793.33333333333,1615,1776.66666666667,1743.33333333333,1750,1650,1650,1625,2250
"..1307",1664.28571428571,1710,1793.33333333333,1615,1733.33333333333,1743.33333333333,1750,1650,1670,1625,2250
"..1308",1607.14285714286,1710,1793.33333333333,1615,1733.33333333333,1743.33333333333,1750,1650,1670,1625,2250
